company_clean,connection_count,avg_priority_score,top_persona
ArkValue,1,12.0,Other
Arik Tekh LLC,1,22.0,Other
Arena,1,23.0,Other
Archive,1,23.0,Other
Goldfish Group,1,26.0,Other
Goldenergy,1,31.0,HR
Go Up Job,1,15.0,Other
Go Bigger,1,12.0,Other
Globaw Career,1,15.0,Other
GlobalLogic,1,20.0,Other
Global Titanio SPA,1,26.0,Other
Greentube GmbH,1,31.0,HR
Green River,1,27.0,Data Engineer
Greatleads,1,8.0,Other
Graphic Packaging International,1,29.0,Consultant
Gran Services S.A,1,18.0,Other
Grafeno,1,11.0,Other
Graco,1,34.0,HR
Golin Ketchum,1,18.0,Other
Goldstück Personaldienstleistungen,1,12.0,Other
Asset Management,1,23.0,Other
Asset Locale,1,20.0,Other
Assessoria RG,1,21.0,Other
Asian Bloom HR,1,19.0,Software Engineer
"Aseguradora General, S.A",1,8.0,Other
Ascentt,1,28.0,Other
Arvenda LLC,1,23.0,Other
Grupo Condumax | Incesa,1,23.0,Other
Grupo Castillo - Reclutamiento y Selección,1,12.0,Other
Grupo Bringel Oficial,1,12.0,Other
Grupo Bonella,1,9.0,Other
Grupo Blanco,1,12.0,Other
Grupo Bio Holding,1,15.0,Other
Grupo Barigui,1,15.0,Other
Grupo BOIS | Blank space| Freelan| 9db| Nuvalia,1,30.0,HR
Grupo Artemp,1,7.0,Other
Grupo Aposta Ganha,1,19.0,Product
Grupo AG Capital,1,12.0,Other
Grupo AG,1,17.0,HR
Growth Machine,1,8.0,Other
Growth Hackerz,1,27.0,Data Engineer
Growdev,1,32.0,HR
Grooo International,1,27.0,HR
Grupo Panvel,1,28.0,Consultant
Grupo Orbenk,1,12.0,Other
Grupo Nexo Infinity,1,37.0,HR
Grupo Mup,1,34.0,HR
Grupo Multilaser,1,20.0,Other
Grupo Líder,1,16.0,Other
Grupo Leveros,1,21.0,HR
Grupo JCA,1,18.0,Other
Grupo IMESE,1,38.0,HR
Grupo Hub,1,28.0,Consultant
Grupo H2,1,27.0,Product
Grupo Garnier,1,24.0,HR
Grupo Fácil,1,35.0,Other
Grupo Energisa,1,12.0,Other
Grupo ENESA - Página Oficial,1,18.0,Other
Grupo Dipromedic,1,8.0,Other
HEALTH2U-MX | VIBE BSA AESTHETICS,1,23.0,Other
HAPEKO Österreich GmbH,1,14.0,Other
H+H The Match,1,12.0,Other
Gummy Original,1,8.0,Other
Guias Locales,1,25.0,Software Engineer
Gruppo GETRA,1,21.0,HR
Grupo Tombini,1,12.0,Other
Grupo Terra Firme,1,48.0,Other
Grupo Símios,1,8.0,Other
Grupo Suno,1,15.0,Consultant
Grupo Solução & Cia,1,15.0,Software Engineer
Grupo Shogua,1,32.0,HR
Grupo SDH,1,21.0,Other
Grupo QuintoAndar,1,15.0,Other
Grupo Plata,1,15.0,Consultant
Grupo Petrópolis,1,24.0,HR
Happiness,1,8.0,Other
Hand Talk by Sorenson,1,33.0,Data Engineer
Hamilton George Care,1,12.0,Other
Halton Borough Council,1,8.0,Other
Halliburton,1,27.0,HR
HVAR,1,21.0,HR
HR® Employment Bureau,1,25.0,Consultant
HRin,1,22.0,Operations
HR-Werkstatt GmbH,1,12.0,Other
HR factory GmbH,1,18.0,Other
HR Business Partners Perú,1,25.0,Consultant
HOSPITAL IGESP,1,12.0,Other
HONOR,1,25.0,Other
HIF Global,1,12.0,Other
HEMES,1,22.0,Other
HEART ME & FOLLOW,1,26.0,Other
Helplearte,1,22.0,Consultant
HelpMed Saúde,1,18.0,Other
Helios Kliniken GmbH,1,20.0,Other
Helios HR Talent,1,15.0,Consultant
Heidrick & Struggles,1,23.0,Project / Program Manager
Healthcare Personalmanagement GmbH,1,25.0,Consultant
HealthBit | Inteligência em Saúde,1,30.0,Data Analyst
Health3A,1,19.0,Software Engineer
Havelar,1,28.0,Other
Havas Play 🇫🇷,1,12.0,Other
Hattrick IT,1,26.0,Other
Hasten Group,1,25.0,Consultant
Hashtag Para Empresas,1,12.0,Other
Harness,1,25.0,Other
Hardwork Medicina,1,12.0,Other
Haptiq,1,23.0,Other
Hit Ocean,1,27.0,HR
Hirsch Personalberatung,1,21.0,HR
Hirevue,1,27.0,Product
Hireline.io,1,22.0,Other
Hired Remoteli,1,26.0,Other
Hired,1,22.0,Consultant
Hire International,1,22.0,Other
Hindustan Aeronautics Limited,1,7.0,Other
Hiker Ventures,1,12.0,Other
Hibernian Recruitment GmbH,1,41.0,Other
HiPo Executive GmbH | Ärztevermittlung,1,25.0,Other
HiBob,1,24.0,Data Analyst
Hexagon Mining,1,24.0,HR
Hexagon Global Services Inc,1,22.0,Other
Hexagon Geosystems,1,21.0,Other
Hero,1,21.0,Other
IBRA+ Carreira e Recolocação Assertiva,1,8.0,Other
IAM meet,1,12.0,Other
Humanitas DMH - dienstverlening aan mensen met een hulpvraag,1,12.0,Other
Humana Mente - Salud Mental y Desarrollo Organizacional,1,35.0,HR
Humana,1,30.0,Consultant
Human Phi,1,24.0,Other
HubSync,1,17.0,Operations
Hub Infinity,1,19.0,Consultant
Howdy.com,1,25.0,Other
How to Change the World,1,15.0,Software Engineer
Hotel Campo Marzio,1,12.0,Other
Hospital das Clínicas da Faculdade de Medicina da USP,1,25.0,Consultant
HomeBuddy,1,27.0,Data Engineer
Home2 Suites by Hilton,1,8.0,Other
Holding Incosec,1,12.0,Other
HitOcean,1,21.0,Other
INSTITUTO RAMA,1,12.0,Other
ING Italia,1,54.0,Data Engineer
INFINIA,1,27.0,HR
IMS People Possible,1,19.0,Consultant
IMPS The Smurfs,1,25.0,Other
IMG Courses,1,22.0,Other
IMA - Instituto Mineiro de Agropecuária,1,12.0,Other
ILERWORK,1,19.0,Consultant
IKO International,1,21.0,Other
IKEA,1,24.0,HR
IFSP - Campus Salto,1,12.0,Other
IEEE,1,14.0,Other
ID\TBWA,1,18.0,Other
ID.me,1,22.0,Other
ICTS,1,20.0,Data Scientist
ICT Group,1,22.0,Other
Impel Talent,1,15.0,Other
Impala Search,1,19.0,Consultant
Immobilien Robert Ellinghoven,1,8.0,Other
Images Group,1,12.0,Other
Ikatec,1,24.0,HR
Ici - Instituto das Cidades Inteligentes,1,8.0,Other
IZZON Lab,1,12.0,Other
IU Group,1,23.0,Other
ITF CHEMICAL LTDA,1,8.0,Other
IRMARFER STRUCTURES,1,38.0,HR
IQVIA,1,27.0,Data Engineer
IP Soluções em RH,1,19.0,Consultant
IORQ,1,23.0,Other
IORGA Group,1,18.0,Other
IO TECNOLOGIA E SERVICOS LTDA,1,8.0,Other
INSYS icom,1,19.0,Consultant
Apsen Farmacêutica,1,8.0,Other
Appzlogic,1,25.0,Other
Appning by Forvia,1,37.0,HR
AppNation,1,24.0,HR
Apex Resources Ltd,1,15.0,Consultant
Apex Global Mobility,1,16.0,Other
Anhanguera Educacional,1,8.0,Other
Ancar,1,27.0,Data Engineer
Analítica Soluções Inovadoras,1,21.0,Consultant
Infinite Lambda,1,23.0,Consultant
Inditex,1,16.0,Other
Independiente (freelance),1,15.0,Consultant
Incusol Inc,1,35.0,Consultant
InSync Jobs,1,22.0,Other
InCompany 🚀,1,15.0,Other
InBetta,1,13.0,Other
"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",1,12.0,Other
Instituto Atlântico,1,27.0,Data Engineer
Inspira Rede de Educadores,1,23.0,Data Engineer
Insider Store,1,23.0,Product
Inove Drywall e Steel Frame,1,12.0,Other
InnovArise by Grupo AG,1,8.0,Other
Inkora,1,8.0,Other
Infraspeak,1,29.0,Other
InfoPrice,1,30.0,Data Engineer
Influur,1,23.0,Other
Archie Labs,1,15.0,Other
Archer Daniels Midland Company,1,8.0,Other
Arcadis,1,18.0,Other
Arcadea Group,1,18.0,Other
Aptita,1,31.0,Other
Aptar,1,58.0,HR
Inttegra,1,19.0,Other
Intone Networks Inc,1,12.0,Other
Intertec International,1,31.0,Other
Interseguro Compañía de Seguros,1,21.0,Other
"International Talent Leader, Advisor & Business Coach",1,29.0,Consultant
Intermedia,1,25.0,Other
InterEx Group,1,24.0,Data Analyst
Inter&Co,1,20.0,Other
IntelliPro,1,27.0,Project / Program Manager
Inteliteam,1,12.0,Other
Instituto de Pesquisas Eldorado,1,12.0,Other
Instituto Semear,1,23.0,Other
Instituto Profesional IPP,1,15.0,Other
Instituto Nacional de Telecomunicações - Inatel,1,27.0,Project / Program Manager
Instituto Nacional de Colonización,1,12.0,Other
Instituto IA Saúde,1,18.0,Other
Jfm Industria e Comercio LTDA,1,12.0,Other
Jaxel,1,28.0,Other
Janina Ott - systemische Beratung/Coaching,1,12.0,Other
Jambo Education Ltd,1,25.0,Consultant
Jadara Solutions,1,20.0,Other
JMAN Group,1,12.0,Other
JEM Systems,1,20.0,Data Analyst
JD Casa & Construção,1,8.0,Other
Itonga Resourcing,1,22.0,Consultant
Istituto Comprensivo,1,12.0,Other
Ipsos,1,22.0,Other
Ion Interactive,1,15.0,Other
Involves,1,27.0,Data Engineer
Invillia,1,18.0,Other
Invenergy,1,11.0,Other
InvGate,1,22.0,Other
KELTIS,1,18.0,Other
KA Resources Recruitment SL,1,15.0,Other
Juvo,1,21.0,HR
Just Eat Takeaway.com,1,24.0,Data Scientist
Jumpstart Immigration,1,12.0,Other
Jumbo Supermarkten,1,27.0,Data Engineer
Jude's,1,12.0,Other
Juan Motilla S.L,1,18.0,Other
Jornada de Dados,1,12.0,Other
Join Talent,1,12.0,Other
Johnson & Johnson,1,18.0,Other
Jobwal,1,18.0,Other
Jobscan,1,11.0,Other
Jobcrown GmbH,1,27.0,Consultant
JobTeaser,1,12.0,Other
JobInside UG,1,12.0,Other
Kimberly-Clark,1,18.0,Other
Kids First COP groep,1,15.0,Other
Ketterer Kunst GmbH & Co. KG,1,21.0,HR
Kelly México,1,18.0,Other
Keio University Global Research Institute (KGRI),1,12.0,Other
Keeta,1,15.0,Other
Keboola,1,20.0,Other
Kazulo Displays,1,18.0,Other
Kata Vegh Psychologist,1,8.0,Other
Kasparov Finance & BI,1,19.0,Consultant
Kantar,1,8.0,Other
Kajae,1,15.0,Other
KWAN,1,33.0,Data Engineer
KONCILI,1,12.0,Other
KI people,1,12.0,Other
KES - Knowledge Exchange Sessions,1,12.0,Other
Kunumi,1,12.0,Other
Krones,1,18.0,Other
Kromberg & Schubert,1,27.0,HR
Kozijnmakers B.V,1,12.0,Other
Kovi,1,11.0,Other
Kordsa,1,18.0,Other
Kora Saúde,1,7.0,Other
KooKoo Strategy,1,12.0,Other
Konecta,1,28.0,Other
Kodros | Financials voor gemeenten,1,19.0,Consultant
Koda Staff,1,27.0,Consultant
Koc Electro,1,12.0,Other
Knots,1,23.0,Other
Kliente 360,1,31.0,Data Engineer
Kleinkunstig,1,39.0,Other
Kinebot,1,23.0,Other
LabPro,1,12.0,Other
La Salle BCN,1,18.0,Other
La Caja de Ahorro y Seguro,1,18.0,Other
LYNK Human Capital,1,26.0,Other
LUÁ Centro de Orientación Integral,1,15.0,Other
LOCUMPRO GmbH,1,12.0,Other
LKS NEXT,1,19.0,Consultant
LHP Engineering Solutions,1,32.0,Other
LGT Transport,1,27.0,Other
LG Consultores,1,8.0,Other
LG CNS,1,30.0,Data Engineer
LCM Sports and Pet Products,1,17.0,Operations
LCM Energy,1,19.0,Other
LAUTEC Group,1,22.0,Other
L'Oréal,1,25.0,Other
Kyndryl,1,18.0,Other
Amherst,1,18.0,Other
Amgen,1,24.0,Other
American Red Cross,1,23.0,Product
American Association of Exporters and Importers (AAEI),1,8.0,Other
Amenitiz,1,28.0,Product
Amefruits,1,37.0,HR
Amdocs,1,18.0,Other
AmSpec Group,1,15.0,Other
Alvoar Lácteos,1,18.0,Other
Leaders Lifestyle,1,12.0,Other
LeadHRM,1,20.0,Operations
Layse Tattoo,1,12.0,Other
Larissa Sanford,1,12.0,Other
Lapônia - Concessionário de Caminhões e Chassis de Ônibus Volvo,1,32.0,HR
LanceSoft UAE,1,14.0,Other
Laghetto,1,21.0,HR
Leão estratégia e Gestão,1,30.0,Product
LevelUP HCS,1,19.0,Consultant
Level.works,1,19.0,Consultant
Lesaffre,1,20.0,Other
Leroy Merlin,1,21.0,HR
Lenovo PCCW Solutions,1,25.0,Other
Lee Hecht Harrison,1,21.0,Other
Learnlight,1,12.0,Other
LeanConvert,1,24.0,Data Analyst
Leads2b,1,24.0,Operations
Ana Gaming,1,15.0,Other
Amorix Alimentos,1,24.0,HR
Amoreza,1,20.0,Other
Amil,1,8.0,Other
Amigo Cuida,1,8.0,Other
Amicar,1,24.0,HR
LoyaltyCom,1,18.0,Other
Lovely,1,22.0,Other
Lovas IT,1,12.0,Other
Lojas Eskala,1,22.0,Data Analyst
Logic Pursuits,1,36.0,Data Engineer
Logging-In.com Inc,1,22.0,Other
Loft,1,25.0,Product
Livre Escolha,1,12.0,Other
LivaNova,1,15.0,Other
Litcessory,1,18.0,Other
Lisalog Operador Logístico,1,8.0,Other
Linuxell Informática,1,23.0,Product
Link School,1,12.0,Other
Lingoda GmbH,1,22.0,Other
Lightsound Group,1,27.0,HR
Lifemate Furniture,1,22.0,HR
MODIFI,1,22.0,BI Analyst
MIT Sloan School of Management,1,22.0,Other
MHP – A Porsche Company,1,12.0,Other
MG Manutenção,1,8.0,Other
MEGGLE GmbH & Co. KG,1,12.0,Other
MCC Label,1,31.0,HR
MATH Group,1,27.0,Data Engineer
MATH,1,29.0,HR
MARS Solutions Group,1,20.0,Other
MAD Search Talent,1,12.0,Other
MABI,1,17.0,Operations
Lyric,1,12.0,Other
Luxor Group,1,19.0,Other
Luxoft,1,24.0,Other
Lusitania,1,15.0,Other
Ludovica centro de Educação Profissional,1,15.0,Other
Maplink,1,12.0,Other
Manserv,1,8.0,Other
Manfred,1,18.0,Other
Mandomedio Perú,1,22.0,Consultant
Mallette,1,33.0,Data Engineer
MakeValue,1,12.0,Other
Magneto,1,25.0,Other
MadeiraMadeira,1,28.0,Product
MadeinWeb,1,31.0,HR
Macrosol Energia Solar,1,15.0,Consultant
MSL Corporate,1,34.0,HR
MSC Mediterranean Shipping Company,1,24.0,Data Analyst
MPS Partners,1,19.0,Consultant
MOZAYDO,1,20.0,Other
MOTUS Consultora | Estratégia en Recursos Humanos,1,38.0,HR
MOONTON GAMES,1,12.0,Other
Mega distribuidora de cosméticos,1,18.0,Other
Medway,1,23.0,Other
MedTec - Medicina Técnica,1,15.0,Other
Measurelab,1,35.0,Data Engineer
Mayoral Moda Infantil,1,21.0,Other
Mayo Clinic,1,18.0,Other
Mattos Engelberg Echenique Advogados,1,8.0,Other
Masterschool,1,23.0,Other
Masterplan.com,1,21.0,HR
Masentó Group,1,19.0,Consultant
Mars,1,20.0,Other
Markus Schmidleitner - Villa Bergzauber,1,8.0,Other
Markel,1,27.0,Data Engineer
Marine Instruments,1,21.0,Other
MariaDB,1,12.0,Other
Maria Enterprise,1,27.0,Project / Program Manager
Midway,1,27.0,Product
Microlins,1,12.0,Other
Michelin,1,21.0,HR
Mibbers,1,15.0,Software Engineer
Mewa,1,17.0,Project / Program Manager
Meu bess,1,12.0,Other
Metso,1,15.0,Other
MessageMatch,1,11.0,Other
Mercury Theatre,1,13.0,Other
Mercafacil,1,27.0,Product
Mercado Bitcoin,1,27.0,Product
Mentor vzw,1,12.0,Other
Meng GmbH,1,12.0,Other
Mench-adv 'מנצ,1,23.0,Other
MelhorPlano.net,1,22.0,HR
Mein Leben,1,8.0,Other
Monee,1,13.0,Other
Modern Health,1,23.0,Other
Mixam,1,20.0,Data Analyst
Miro,1,22.0,Other
Mirante Tecnologia,1,21.0,HR
MintMe.com,1,11.0,Other
Ministério da Cultura,1,27.0,Data Engineer
Ministerie van Defensie,1,22.0,Other
Minerva Foods,1,22.0,Other
Mineral Resources,1,33.0,Data Engineer
Mineradores,1,16.0,Consultant
Mindful Concepts,1,25.0,Other
Mindbody,1,23.0,Product
MindMiners,1,18.0,Other
MindBase,1,12.0,Other
Mignow,1,28.0,Product
MİTAS GROUP,1,13.0,Other
Mycon,1,21.0,HR
Muybridge,1,46.0,Consultant
Mushtari Capital,1,12.0,Other
MurryConsult LLC,1,17.0,HR
Multiplica,1,15.0,Other
Movizzon,1,25.0,Other
Mottu,1,7.0,Other
Moody's Corporation,1,15.0,Software Engineer
Monuv,1,25.0,Product
Montreal Oficial,1,44.0,Project / Program Manager
Montes del Plata (Stora Enso & Arauco),1,34.0,HR
Montash,1,25.0,Consultant
Monta,1,32.0,HR
Monks,1,24.0,HR
Monest,1,27.0,Product
Nenya GmbH,1,25.0,Other
NeenOpal Inc,1,30.0,Data Analyst
Nebula Partners LLC,1,41.0,Other
Naviera Integral,1,21.0,HR
National Service Scheme,1,12.0,Other
Nasir Float Glass Industries Ltd,1,8.0,Other
Nanovest,1,24.0,Data Analyst
NTT Ltd,1,27.0,HR
NJF Global Holdings Ltd,1,15.0,Other
NGAGE,1,12.0,Other
NEXA,1,12.0,Other
NEX Energy,1,15.0,Other
NETZSCH Group,1,18.0,Other
NAVA · Executive Support & Growth,1,18.0,Other
NACHO Sales,1,12.0,Other
N-iX,1,33.0,Data Engineer
Nicoly Oliveira,1,12.0,Other
Nickel,1,30.0,Data Engineer
NexCen Global Inc,1,22.0,Other
NewtonX,1,18.0,Other
Newsela,1,29.0,Data Engineer
Newnew | Educação Corporativa,1,12.0,Other
Neumüller Elektronik GmbH,1,12.0,Other
Neue Narrative,1,12.0,Other
Netrin,1,24.0,HR
Netfive,1,25.0,Other
Netex Group,1,18.0,Other
NetForemost,1,37.0,HR
NetExpat,1,19.0,Consultant
Net Temps Limited,1,12.0,Other
Nessentis,1,21.0,HR
Neodent,1,21.0,HR
Núclea,1,27.0,Data Engineer
Nômad Recursos Humanos,1,21.0,HR
Nutrata,1,25.0,Other
Nurtur,1,22.0,Other
NuageIT,1,54.0,Data Engineer
Nova,1,18.0,Other
Nouvel Talent,1,28.0,Consultant
Nord Group,1,12.0,Other
Nomad Career,1,22.0,Other
Nodos Hub,1,46.0,Other
Nivela,1,15.0,Other
Ninecon,1,21.0,Consultant
Nike,1,20.0,Data Analyst
Nigra - Gestão da Mudança e Cultura Organizacional,1,34.0,HR
NielsenIQ,1,32.0,Data Scientist
Nidec Corporation Global,1,21.0,HR
Oderço,1,12.0,Other
Odebrecht Angola,1,8.0,Other
Odeabank,1,22.0,HR
OctronX™,1,8.0,Other
Octopus Energy,1,20.0,Other
Ocean Network Express,1,27.0,HR
Ocean Investment,1,12.0,Other
Obrela,1,23.0,HR
Oasis Infobyte,1,34.0,Other
OTP Group,1,22.0,Software Engineer
OPLIUM,1,12.0,Other
ONE HIRING,1,20.0,Other
OM Housing,1,22.0,Other
OBSS,1,28.0,Consultant
O'Reilly Media,1,19.0,Product
O Novo Mercado,1,20.0,Other
Openbaar Ministerie,1,12.0,Other
OpenTalent,1,8.0,Other
OpenCON,1,12.0,Other
Open (YC W24),1,29.0,HR
Oolooroo.io,1,12.0,Other
Onix,1,44.0,Other
Onis Welzijn,1,12.0,Other
OneSource,1,18.0,Other
OneCareer GmbH,1,22.0,Other
OnHires,1,26.0,Other
OmniChat,1,23.0,Data Engineer
Omie,1,18.0,Other
OllyGarden,1,19.0,Software Engineer
Oktana Corporation,1,18.0,Other
OdontoCompany,1,15.0,Other
Odido Nederland,1,12.0,Other
PD on Demand GmbH,1,44.0,Other
PBCN GmbH,1,18.0,Other
PAS - Psicologia Aplicada à Saúde,1,8.0,Other
PALAS,1,12.0,Other
Owen Daniels,1,15.0,Consultant
Overmind,1,23.0,Other
Otis Elevator Co,1,21.0,Other
Ortobom,1,18.0,Other
Orbital Gaming,1,21.0,Software Engineer
OrangeLoops,1,18.0,Other
Orange Business Services,1,25.0,Other
OpusClip,1,18.0,Other
Optum,1,18.0,Other
Optimum Solutions Pte Ltd,1,19.0,Consultant
Optiflow,1,8.0,Other
Opny,1,8.0,Other
Aloft Hotels,1,43.0,HR
Almirall,1,38.0,HR
AlmapBBDO,1,25.0,Other
Allo Bank,1,24.0,Data Scientist
Alliant Insurance Services,1,8.0,Other
Alliance Instalaciones y Mantenimientos,1,21.0,Other
Allgemeine Rentenanstalt Pensionskasse,1,8.0,Other
Alium,1,19.0,Consultant
Alimentos Bloxom,1,28.0,HR
PUMA Group,1,21.0,HR
PUCRS Carreiras,1,8.0,Other
"PSA Sines, S.A",1,32.0,HR
PROTA,1,27.0,HR
PKF Uruguay,1,40.0,Other
PKF Attest,1,21.0,HR
PINPOINT,1,15.0,Other
PassCard,1,25.0,Other
Pasquali Solution,1,12.0,Other
Parcelhero,1,12.0,Other
Paraná Banco S/A,1,22.0,Other
"Paragon Films, Inc. México",1,27.0,HR
Papp Logistics,1,22.0,HR
Paperlike,1,23.0,Other
Page Executive,1,25.0,Other
Page Contracting,1,25.0,Other
Pacífico Seguros,1,26.0,Project / Program Manager
Alume,1,8.0,Other
Altus Engineering,1,28.0,Other
AlphaSkill,1,25.0,Consultant
AlphaLit,1,29.0,Data Scientist
Alpha Only KLG,1,8.0,Other
Alpargatas S.A,1,11.0,Other
Persistent Systems,1,27.0,Software Engineer
Peritus Partners,1,12.0,Other
Periferia IT Group,1,25.0,Other
Performa_IT,1,25.0,Project / Program Manager
Peoples Republic,1,19.0,Consultant
Peoplematters,1,19.0,Consultant
PeopleCore Hub,1,15.0,Consultant
People Made Machines,1,30.0,Data Scientist
People A&M,1,28.0,Consultant
Pentágono Engenharia,1,21.0,HR
Pensecom - Inteligência em Recursos Humanos,1,21.0,HR
Pecege,1,12.0,Other
Pearson,1,27.0,Data Engineer
PdH | Partei der Humanisten,1,12.0,Other
Payoneer,1,24.0,Data Analyst
Patton Labs Inc,1,27.0,Project / Program Manager
Planville GmbH,1,12.0,Other
Planet Earth,1,12.0,Other
Planet,1,33.0,Data Engineer
Pixida,1,28.0,Other
Pismo,1,18.0,Other
Pipol | Recrutamento Industrial,1,12.0,Other
Pipeimob,1,27.0,HR
PinkRoccade Local Government,1,12.0,Other
Pharmbills,1,18.0,Other
Petz,1,21.0,HR
Peter Park,1,20.0,Other
Pessoa Jurídica,1,15.0,Consultant
Pertemps Network Group,1,15.0,Consultant
Perspective Dragon,1,16.0,Other
Personalhaus Gruppe,1,12.0,Other
PersonalGlobal,1,21.0,HR
Prefeitura Municipal de Guarujá,1,12.0,Other
Prefeitura Municipal de Entre Rios,1,8.0,Other
Prefeitura Municipal de Aporé,1,8.0,Other
PragetX,1,30.0,HR
Potencializando Talentos,1,8.0,Other
Postbeamtenkrankenkasse,1,12.0,Other
Posedio GmbH,1,23.0,Other
Portobello Grupo,1,40.0,HR
PortX,1,52.0,Consultant
Pontifícia Universidade Católica do Rio Grande do Sul,1,12.0,Other
Polícia Militar do Distrito Federal - PMDF,1,12.0,Other
Polis Immobilien AG,1,12.0,Other
Polar,1,8.0,Other
Pobre Juan,1,19.0,Consultant
Platonix AG,1,24.0,HR
Plarium,1,12.0,Other
Professor Particular,1,12.0,Other
Productized,1,12.0,Other
Procuradoria Geral do Município de Niterói,1,12.0,Other
Procter & Gamble,1,8.0,Other
ProV International,1,21.0,Other
ProLeads Company,1,21.0,HR
Privat,1,8.0,Other
Privado,1,15.0,Other
Privacy,1,19.0,Product
Priner,1,7.0,Other
PrimeHire,1,27.0,Machine Learning / AI
Prevemt Medicina Do Trabalho,1,12.0,Other
Presence Tecnologia,1,15.0,Other
Prefeitura Municipal de Simão Pereira,1,8.0,Other
Prefeitura Municipal de Poços de Caldas,1,22.0,Consultant
Prefeitura Municipal de Lauro de Freitas,1,9.0,Other
QPC Engenharia,1,8.0,Other
Q-logic,1,12.0,Other
Pão da praça,1,8.0,Other
"Public Prosecutor’s Office, Paraná State",1,13.0,Other
Psicóloga Mayara Carvalho,1,18.0,Other
Psicóloga Maria Eduarda D' Errico,1,8.0,Other
Psicóloga Clínica Autônomo,1,12.0,Other
Psicotran Avaliação Psicológica,1,12.0,Other
Proyectos Engineering,1,25.0,Other
Proxity,1,22.0,Other
Prosperity Behavioral India Pvt Ltd,1,12.0,Other
Prospekt,1,20.0,Other
Prospect Wallet,1,15.0,Other
Prosigliere,1,31.0,Data Engineer
Projjetta Tecnologia em Dados,1,27.0,Data Engineer
Projeto Coragem Singular,1,8.0,Other
Alerta Médica,1,27.0,HR
Aldeas Infantiles SOS Bolivia,1,15.0,Other
AkzoNobel,1,18.0,Other
Akad Seguros,1,12.0,Other
Ajuntament de Palma,1,12.0,Other
Agência LK,1,20.0,Data Analyst
Agência FG,1,8.0,Other
Agro Pitangueira,1,15.0,Other
QuantumVoice,1,24.0,Data Scientist
Quantum Rise,1,12.0,Other
Quantum,1,21.0,HR
Quality Temporal (ETT),1,18.0,Other
Qualitti Sviluppo Srl,1,12.0,Other
Qualitas Electronics Ltd,1,27.0,Other
Qive,1,27.0,Data Engineer
QUALIFICAR TI,1,12.0,Other
REP Seguros Corporativos,1,21.0,HR
REF Uruguay,1,53.0,Other
RED Innovations,1,22.0,BI Analyst
RB SOLUÇÕES EM CAPITAL HUMANO,1,19.0,Consultant
RAFATELLA INVESTIMENTOS,1,8.0,Other
R2D Top Talent,1,15.0,Other
R+V Versicherung,1,8.0,Other
Questrade Financial Group,1,26.0,Other
Quantumgo,1,25.0,Consultant
Alianzo,1,17.0,HR
Algoworks,1,12.0,Other
Algo,1,21.0,HR
Algar Telecom,1,33.0,Data Engineer
Alga,1,28.0,Product
AlfaPeople,1,17.0,Project / Program Manager
Alexander Thamm [at],1,12.0,Other
Recast,1,20.0,Other
Rec2IT,1,12.0,Other
Rebels,1,33.0,Consultant
ReSus Consult GmbH,1,32.0,Consultant
ReSimple,1,24.0,HR
RapidCanvas,1,26.0,Data Scientist
RankMyApp,1,24.0,HR
RTE Rodonaves,1,21.0,HR
RSM UY,1,34.0,HR
RSA Serviços Inteligentes,1,15.0,Consultant
ROCKSOLID Personalvermittlung GmbH,1,19.0,Consultant
RMT Labs SA,1,12.0,Other
RM Gente e Gestão,1,30.0,HR
RL JOB SERVICES SRL,1,21.0,HR
RHS Premium,1,8.0,Other
RHGestor By Sólides,1,15.0,Other
República Microfinanzas S.A,1,15.0,Other
Rentokil Initial,1,34.0,HR
Rentcars,1,19.0,Other
Renta Nacional Seguros Generales,1,30.0,HR
Renault,1,26.0,Other
RemoteUp,1,25.0,Consultant
Remote,1,29.0,Consultant
Remax Siimgroup,1,8.0,Other
Reflex Aerospace,1,18.0,Other
Reed Recruitment Malta,1,19.0,Consultant
Rede D'Or São Luiz,1,25.0,Other
RedScreen (Pty) Ltd,1,15.0,Other
Red Hat,1,27.0,Machine Learning / AI
Red Bull,1,23.0,Machine Learning / AI
Recruitment Circle,1,25.0,Consultant
Reclame AQUI,1,17.0,HR
Rove,1,12.0,Other
Romeu,1,12.0,Other
Roland Berger Strategy Consultants,1,18.0,Other
Rogo,1,12.0,Other
Rodobens,1,12.0,Other
Robots & Pencils,1,26.0,Other
Robot.com,1,12.0,Other
Risk Women,1,12.0,Other
Rh Ribeirão,1,12.0,Other
Reward Gateway,1,15.0,Other
Revenus,1,25.0,Other
RevenueCat,1,30.0,Data Scientist
Revent Labs,1,31.0,HR
Revelo,1,16.0,Other
Ressignifique Núcleo de Psicologia,1,12.0,Other
Resend,1,15.0,Software Engineer
"SIMaP, Grenoble",1,8.0,Other
SET University,1,20.0,Other
SEO International Conference Karachi,1,33.0,Other
SEK Security Ecosystem Knowledge,1,37.0,Other
SE Mentor Solutions,1,27.0,HR
SD Worx,1,27.0,HR
SD Consultora de Empresas Familiares,1,19.0,Consultant
SCUBE,1,18.0,Other
SCP SINTERSA,1,12.0,Other
SCOH,1,12.0,Other
SBB CFF FFS,1,12.0,Other
SARIA Group,1,20.0,Other
SANDRO,1,12.0,Other
SAFR from RealNetworks,1,28.0,Data Scientist
S-Communication Services GmbH,1,12.0,Other
RulesIQ,1,12.0,Other
